id,rm_start,rm_end,side,site_id,end_site_id,latitude,longitude,section,select,NO_start,NO_end,type,inside_slough,comments
1,-15.79,-15.71,L,-15.79 L,-15.71 L,36.93666077,-111.4828415,upper,N,1L,2L,monitoring,,
2,-15.71,-15.6,L,-15.71 L,-15.6 L,36.93501663,-111.4820023,upper,N,2L,3L,monitoring,,
3,-15.6,-15.45,L,-15.6 L,-15.45 L,36.9335289,-111.481102,upper,N,3L,4L,monitoring,,
4,-15.45,-15.3,L,-15.45 L,-15.3 L,36.93153763,-111.4801102,upper,N,4L,5L,monitoring,,
5,-15.3,-15.16,L,-15.3 L,-15.16 L,36.92939758,-111.4793701,upper,Y,5L,6L,monitoring,,
6,-15.16,-15.04,L,-15.16 L,-15.04 L,36.92734146,-111.4788666,upper,Y,6L,7L,monitoring,,
7,-15.04,-14.89,L,-15.04 L,-14.89 L,36.92550278,-111.4797974,upper,Y,7L,8L,monitoring,,
8,-14.89,-14.74,L,-14.89 L,-14.74 L,36.92399216,-111.4817657,upper,Y,8L,9L,monitoring,,
9,-14.74,-14.59,L,-14.74 L,-14.59 L,36.9225769,-111.4837189,upper,Y,9L,10L,monitoring,,
10,-14.59,-14.45,L,-14.59 L,-14.45 L,36.92083359,-111.4852829,upper,Y,10L,11L,monitoring,,
11,-14.45,-14.31,L,-14.45 L,-14.31 L,36.91912842,-111.4867783,upper,Y,11L,12L,monitoring,,
12,-14.31,-14.17,L,-14.31 L,-14.17 L,36.9177742,-111.4888611,upper,Y,12L,13L,monitoring,,
13,-14.17,-14.02,L,-14.17 L,-14.02 L,36.91711807,-111.4914627,upper,Y,13L,14L,monitoring,,
14,-14.02,-13.87,L,-14.02 L,-13.87 L,36.91701889,-111.4942017,upper,Y,14L,15L,monitoring,,
15,-13.87,-13.68,L,-13.87 L,-13.68 L,36.91677475,-111.4969711,upper,Y,15L,16L,monitoring,,
16,-13.68,-13.5,L,-13.68 L,-13.5 L,36.9160881,-111.4995651,upper,Y,16L,17L,monitoring,,
17,-13.5,-13.36,L,-13.5 L,-13.36 L,36.91412354,-111.5000763,upper,Y,17L,18L,monitoring,,
18,-13.36,-13.19,L,-13.36 L,-13.19 L,36.91208649,-111.4999237,upper,Y,18L,19L,monitoring,,
19,-13.19,-13.09,L,-13.19 L,-13.09 L,36.9099884,-111.4992294,upper,Y,19L,20L,monitoring,,
20,-13.09,-12.95,L,-13.09 L,-12.95 L,36.90826797,-111.4990845,upper,Y,20L,21L,monitoring,,
21,-12.95,-12.81,L,-12.95 L,-12.81 L,36.90611649,-111.4992142,upper,Y,21L,22L,monitoring,,
22,-12.81,-12.68,L,-12.81 L,-12.68 L,36.90411377,-111.5000153,upper,Y,22L,23L,monitoring,,
23,-12.68,-12.55,L,-12.68 L,-12.55 L,36.90227509,-111.5008621,upper,Y,23L,24L,monitoring,,
24,-12.55,-12.44,L,-12.55 L,-12.44 L,36.90104675,-111.5031052,upper,Y,24L,25L,monitoring,,
25,-12.44,-12.3,L,-12.44 L,-12.3 L,36.90080261,-111.5053787,upper,Y,25L,26L,monitoring,,outside slough
26,-12.3,-12.15,L,-12.3 L,-12.15 L,36.90156555,-111.5077515,upper,Y,26L,27L,monitoring,,outside slough
27,-12.15,-12.05,L,-12.15 L,-12.05 L,36.90126419,-111.5104218,upper,Y,27L,28L,monitoring,,outside slough
28,-12.05,-12.19,L,-12.05 L,-12.19 L,36.90082169,-111.5121155,upper,Y,28L,29L,monitoring,slough,inside slough
29,-12.19,-12.35,L,-12.19 L,-12.35 L,36.90045166,-111.5094604,upper,Y,29L,30L,monitoring,slough,inside slough
30,-12.35,-12.15,L,-12.35 L,-12.15 L,36.89994812,-111.5073242,upper,Y,30L,31L,monitoring,slough,inside slough
31,-12.15,-12.01,L,-12.15 L,-12.01 L,36.90029907,-111.5100098,upper,Y,31L,32L,monitoring,slough,inside slough
32,-12.01,-11.87,L,-12.01 L,-11.87 L,36.90054703,-111.5127106,upper,Y,32L,33L,monitoring,,
33,-11.87,-11.72,L,-11.87 L,-11.72 L,36.90073395,-111.5154572,upper,Y,33L,34L,monitoring,,
34,-11.72,-11.55,L,-11.72 L,-11.55 L,36.90087509,-111.5182571,upper,Y,34L,35L,monitoring,,
35,-11.55,-11.36,L,-11.55 L,-11.36 L,36.90060043,-111.5210114,upper,Y,35L,36L,monitoring,,
36,-11.36,-11.21,L,-11.36 L,-11.21 L,36.89919662,-111.5230255,upper,Y,36L,37L,monitoring,,
37,-11.21,-11.06,L,-11.21 L,-11.06 L,36.89716721,-111.5228348,upper,Y,37L,38L,monitoring,,
38,-11.06,-10.92,L,-11.06 L,-10.92 L,36.89499283,-111.5230637,upper,Y,38L,39L,monitoring,,
39,-10.92,-10.8,L,-10.92 L,-10.8 L,36.89283752,-111.5233307,upper,Y,39L,40L,monitoring,,
40,-10.8,-10.65,L,-10.8 L,-10.65 L,36.89130783,-111.5250854,upper,Y,40L,41L,monitoring,,
41,-10.65,-10.48,L,-10.65 L,-10.48 L,36.88993454,-111.5271835,middle,Y,41L,42L,monitoring,,
42,-10.48,-10.3,L,-10.48 L,-10.3 L,36.88850784,-111.5289154,middle,Y,42L,43L,monitoring,,
43,-10.3,-10.12,L,-10.3 L,-10.12 L,36.88648224,-111.5290756,middle,Y,43L,44L,monitoring,,
44,-10.12,-9.96,L,-10.12 L,-9.96 L,36.88531494,-111.5268784,middle,Y,44L,45L,monitoring,,
45,-9.96,-9.81,L,-9.96 L,-9.81 L,36.88573456,-111.5241547,middle,Y,45L,46L,monitoring,,
46,-9.81,-9.68,L,-9.81 L,-9.68 L,36.88591003,-111.5214539,middle,Y,46L,47L,monitoring,,
47,-9.68,-9.54,L,-9.68 L,-9.54 L,36.88545609,-111.5189285,middle,Y,47L,48L,monitoring,,
48,-9.54,-9.41,L,-9.54 L,-9.41 L,36.88449097,-111.5164413,middle,Y,48L,49L,monitoring,,
49,-9.41,-9.27,L,-9.41 L,-9.27 L,36.88275909,-111.5149231,middle,Y,49L,50L,monitoring,,
50,-9.27,-9.15,L,-9.27 L,-9.15 L,36.88100815,-111.5133896,middle,Y,50L,51L,monitoring,,
51,-9.15,-9.02,L,-9.15 L,-9.02 L,36.87891388,-111.5139923,middle,Y,51L,52L,monitoring,,
52,-9.02,-8.88,L,-9.02 L,-8.88 L,36.87748337,-111.5159912,middle,Y,52L,53L,monitoring,,
53,-8.88,-8.75,L,-8.88 L,-8.75 L,36.87644577,-111.5180893,middle,Y,53L,54L,monitoring,,
54,-8.75,-8.61,L,-8.75 L,-8.61 L,36.87626266,-111.5207443,middle,Y,54L,55L,monitoring,,
55,-8.61,-8.47,L,-8.61 L,-8.47 L,36.8767662,-111.5233688,middle,Y,55L,56L,monitoring,,
56,-8.47,-8.33,L,-8.47 L,-8.33 L,36.87730789,-111.5259933,middle,Y,56L,57L,monitoring,,
57,-8.33,-8.19,L,-8.33 L,-8.19 L,36.87807465,-111.5284576,middle,Y,57L,58L,monitoring,,
58,-8.19,-8.04,L,-8.19 L,-8.04 L,36.87907028,-111.530304,middle,Y,58L,59L,monitoring,,
59,-8.04,-7.88,L,-8.04 L,-7.88 L,36.87932587,-111.5329514,middle,Y,59L,60L,monitoring,,
60,-7.88,-7.75,L,-7.88 L,-7.75 L,36.87931061,-111.5355835,middle,Y,60L,61L,monitoring,,
61,-7.75,-7.62,L,-7.75 L,-7.62 L,36.87837219,-111.5378113,middle,Y,61L,62L,monitoring,,
62,-7.62,-7.47,L,-7.62 L,-7.47 L,36.87804413,-111.5401382,middle,Y,62L,63L,monitoring,,
63,-7.47,-7.31,L,-7.47 L,-7.31 L,36.87767029,-111.5427933,middle,Y,63L,64L,monitoring,,
64,-7.31,-7.16,L,-7.31 L,-7.16 L,36.87693024,-111.5454254,middle,Y,64L,65L,monitoring,,
65,-7.16,-7.01,L,-7.16 L,-7.01 L,36.8755722,-111.5473251,middle,Y,65L,66L,monitoring,,
66,-7.01,-6.87,L,-7.01 L,-6.87 L,36.8741684,-111.5494766,middle,Y,66L,67L,monitoring,,
67,-6.87,-6.8,L,-6.87 L,-6.8 L,36.87258148,-111.5513763,middle,Y,67L,68L,monitoring,,
68,-6.8,-6.68,L,-6.8 L,-6.68 L,36.87244415,-111.5529938,middle,Y,68L,69L,monitoring,,
69,-6.68,-6.53,L,-6.68 L,-6.53 L,36.87254333,-111.5555954,middle,Y,69L,70L,monitoring,,
70,-6.53,-6.38,L,-6.53 L,-6.38 L,36.87357712,-111.5579147,middle,Y,70L,71L,monitoring,,
71,-6.38,-6.23,L,-6.38 L,-6.23 L,36.87426376,-111.5605469,middle,Y,71L,72L,monitoring,,
72,-6.23,-6.04,L,-6.23 L,-6.04 L,36.8743515,-111.5631485,middle,Y,72L,73L,monitoring,,
73,-6.04,-5.86,L,-6.04 L,-5.86 L,36.87347412,-111.5651474,middle,Y,73L,74L,monitoring,,
74,-5.86,-5.68,L,-5.86 L,-5.68 L,36.87134552,-111.565712,middle,Y,74L,75L,monitoring,,
75,-5.68,-5.52,L,-5.68 L,-5.52 L,36.86922073,-111.5648499,middle,Y,75L,76L,monitoring,,
76,-5.52,-5.37,L,-5.52 L,-5.37 L,36.86743546,-111.5631943,middle,Y,76L,77L,monitoring,,
77,-5.37,-5.22,L,-5.37 L,-5.22 L,36.86573029,-111.5614243,middle,Y,77L,78L,monitoring,,
78,-5.22,-5.07,L,-5.22 L,-5.07 L,36.86394119,-111.5598602,middle,Y,78L,79L,monitoring,,
79,-5.07,-4.91,L,-5.07 L,-4.91 L,36.86208725,-111.5585709,middle,Y,79L,80L,monitoring,,
80,-4.91,-4.76,L,-4.91 L,-4.76 L,36.860569,-111.5565491,middle,Y,80L,81L,monitoring,,
81,-4.76,-4.61,L,-4.76 L,-4.61 L,36.85899353,-111.5546417,middle,Y,81L,82L,monitoring,,
82,-4.61,-4.46,L,-4.61 L,-4.46 L,36.85758972,-111.5524673,lower,Y,82L,83L,monitoring,,
83,-4.46,-4.3,L,-4.46 L,-4.3 L,36.85608292,-111.5505524,lower,Y,83L,84L,monitoring,,
84,-4.3,-4.15,L,-4.3 L,-4.15 L,36.8546257,-111.5485382,lower,Y,84L,85L,monitoring,,
85,-4.15,-4.02,L,-4.15 L,-4.02 L,36.85321045,-111.5464401,lower,Y,85L,86L,monitoring,,
86,-4.02,-3.88,L,-4.02 L,-3.88 L,36.85156631,-111.5448227,lower,Y,86L,87L,monitoring,,
87,-3.88,-3.75,L,-3.88 L,-3.75 L,36.84989548,-111.5431137,lower,Y,87L,88L,monitoring,,
88,-3.75,-3.62,L,-3.75 L,-3.62 L,36.8477211,-111.5426331,lower,Y,88L,89L,monitoring,,
89,-3.62,-3.49,L,-3.62 L,-3.49 L,36.84564209,-111.5432892,lower,Y,89L,90L,monitoring,,
90,-3.49,-3.34,L,-3.49 L,-3.34 L,36.84405518,-111.5451889,lower,Y,90L,91L,monitoring,,
91,-3.34,-3.2,L,-3.34 L,-3.2 L,36.84300995,-111.5476074,lower,Y,91L,92L,monitoring,,
92,-3.2,-3.07,L,-3.2 L,-3.07 L,36.84222794,-111.5501938,lower,Y,92L,93L,monitoring,,
93,-3.07,-2.93,L,-3.07 L,-2.93 L,36.84230423,-111.5527573,lower,Y,93L,94L,monitoring,,
94,-2.93,-2.78,L,-2.93 L,-2.78 L,36.84263229,-111.5555191,lower,Y,94L,95L,monitoring,,
95,-2.78,-2.61,L,-2.78 L,-2.61 L,36.84388351,-111.5577621,lower,Y,95L,96L,monitoring,,
96,-2.61,-2.46,L,-2.61 L,-2.46 L,36.84359741,-111.5604172,lower,Y,96L,97L,monitoring,,
97,-2.46,-2.33,L,-2.46 L,-2.33 L,36.84244919,-111.5627975,lower,Y,97L,98L,monitoring,,
98,-2.33,-2.19,L,-2.33 L,-2.19 L,36.84239197,-111.5653152,lower,Y,98L,99L,monitoring,,
99,-2.19,-2.08,L,-2.19 L,-2.08 L,36.84202957,-111.5680008,lower,Y,99L,100L,monitoring,,
100,-2.08,-1.94,L,-2.08 L,-1.94 L,36.84296036,-111.5699844,lower,Y,100L,101L,monitoring,,
101,-1.94,-1.82,L,-1.94 L,-1.82 L,36.84412766,-111.5721741,lower,Y,101L,102L,monitoring,,
102,-1.82,-1.67,L,-1.82 L,-1.67 L,36.84605408,-111.5730057,lower,Y,102L,103L,monitoring,,
103,-1.67,-1.53,L,-1.67 L,-1.53 L,36.84808731,-111.5733337,lower,Y,103L,104L,monitoring,,
104,-1.53,-1.42,L,-1.53 L,-1.42 L,36.84974289,-111.5750732,lower,Y,104L,105L,monitoring,,
105,-1.42,-1.28,L,-1.42 L,-1.28 L,36.85127258,-111.5757599,lower,Y,105L,106L,monitoring,,
106,-1.28,-1.14,L,-1.28 L,-1.14 L,36.85322952,-111.5764313,lower,Y,106L,107L,monitoring,,
107,-1.14,-0.98,L,-1.14 L,-0.98 L,36.85523987,-111.5775986,lower,Y,107L,108L,monitoring,,
108,-0.98,-0.84,L,-0.98 L,-0.84 L,36.85742569,-111.5781097,lower,Y,108L,109L,monitoring,,
109,-0.84,-0.67,L,-0.84 L,-0.67 L,36.85963058,-111.578186,lower,Y,109L,110L,monitoring,,
110,-0.67,-0.51,L,-0.67 L,-0.51 L,36.861763,-111.5781403,lower,Y,110L,111L,monitoring,,
111,-0.51,-0.33,L,-0.51 L,-0.33 L,36.86352158,-111.5797348,lower,Y,111L,112L,monitoring,,
112,-0.33,-0.16,L,-0.33 L,-0.16 L,36.8645668,-111.5821762,lower,Y,112L,113L,monitoring,,
113,-0.16,-0.01,L,-0.16 L,-0.01 L,36.86455917,-111.5849228,lower,N,113L,114L,monitoring,,
114,-0.01,0.19,L,-0.01 L,0.19 L,36.86428833,-111.587532,lower,N,114L,115L,monitoring,,
115,0.19,0.31,L,0.19 L,0.31 L,36.86304855,-111.5895691,lower,N,115L,116L,monitoring,,
116,0.31,0.46,L,0.31 L,0.46 L,36.86158371,-111.5913773,lower,N,116L,117L,monitoring,,
117,0.46,0.59,L,0.46 L,0.59 L,36.86034775,-111.5936966,lower,N,117L,118L,monitoring,,
118,0.59,0.74,L,0.59 L,0.74 L,36.85944366,-111.5959854,lower,N,118L,119L,monitoring,,
119,0.74,0.9,L,0.74 L,0.9 L,36.85860825,-111.598465,lower,N,119L,120L,monitoring,,
120,0.9,1.06,L,0.9 L,1.06 L,36.85757065,-111.600853,lower,N,120L,121L,monitoring,,
581,-15.79,-15.79,R,-15.79 R,-15.79 R,36.93619156,-111.484436,upper,N,581R,582R,monitoring,,
582,-15.79,-15.71,R,-15.79 R,-15.71 R,36.93582535,-111.4843063,upper,N,582R,583R,monitoring,,
583,-15.71,-15.57,R,-15.71 R,-15.57 R,36.93437958,-111.4841843,upper,N,583R,584R,monitoring,,
584,-15.57,-15.43,R,-15.57 R,-15.43 R,36.93239212,-111.4831085,upper,N,584R,585R,monitoring,,
